title,year,price,id_game
STCC - The Game 1 - Expansion Pack for RACE 07,2008,2.99,8690
Children of the Nile: Alexandria,2008,2.49,17120
Sid Meier's Civilization IV: Colonization,2008,19.99,16810
Tom Clancy's Rainbow Six® 3 Gold,2003,9.99,19830
LEGO Batman,2008,19.99,21000
City Life 2008,2008,9.99,4460
Hinterland,2008,9.99,17140
Brothers in Arms: Hell's Highway™,2008,9.99,15390
Gravitron 2,2008,4.99,21300
Xpand Rally Xtreme,2006,4.99,3050
Heroes of Might & Magic V: Hammers of Fate,2006,9.99,15380
Brothers in Arms: Earned in Blood™,2005,9.99,19800
Heroes of Might & Magic V: Tribes of the East,2007,9.99,15370
The Settlers®: Rise Of An Empire Gold Edition,2008,19.99,19930
Brain Spa,2007,9.99,15350
The Sum of All Fears,2002,9.99,19810
Peggle™ Nights,2008,4.99,3540
World of Goo,2008,9.99,22000
X3: Terran Conflict,2008,15.99,2820
Mare Nostrum,2008,0.0,1230
Spectraball,2008,4.99,18300
Galactic Bowling,2008,19.99,20200
Bully: Scholarship Edition,2008,14.99,12200
Far Cry® 2: Fortune's Edition,2008,9.99,19900
Space Trader: Merchant Marine,2008,4.99,11240
PRR Wagon Pack 01,2009,4.99,256522
"Class 421 London South East ""Jaffa Cake""",2009,4.99,275144
ATSF Wagon Pack 01,2009,4.99,256521
GP20 Union Pacific Add-on Livery,2009,4.99,222569
UK Van Wagon Pack,2009,4.99,256535
CSX SD70MAC Add-on Livery,2009,4.99,256611
CSX ES44AC Add-on Livery,2009,4.99,256576
Saints Row 2,2009,9.99,9480
Dead Space,2008,19.99,17470
Rise of the Argonauts,2008,9.99,12770
Mirror's Edge™,2009,19.99,17410
Defense Grid: The Awakening,2008,9.99,18500
F.E.A.R. 2: Project Origin,2009,14.99,16450
Harvest: Massive Encounter,2008,7.99,15400
Mayhem Intergalactic,2007,9.99,18600
Larva Mortus,2009,4.99,11340
Knights of Honor,2005,9.99,25830
Ceville,2009,5.99,23460
Empire: Total War™ - Special Forces Units & Bonus Content,2009,2.99,10600
Watchmen: The End is Nigh,2009,4.99,21010
Penumbra Overture,2007,9.99,22180
Unreal Tournament 3 Black,2007,19.99,13210
Drakensang,2009,9.99,12640
The Graveyard,2008,4.99,27020
Burnout Paradise: The Ultimate Box,2009,19.99,24740
The Maw,2009,9.99,26000
The Maw: River Redirect,2009,1.25,26006
The Maw: Brute Force,2009,1.25,26005
Obulis,2009,4.99,11330
Space Giraffe,2009,9.99,27800
Codename: Panzers - Cold War,2009,14.99,9850
Escape Rosecliff Island,2009,4.99,3600
Guild Wars Nightfall,2006,19.99,29580
Guild Wars,2005,19.99,29540
Guild Wars Factions,2006,19.99,29560
Guild Wars Trilogy,2008,29.99,29570
Puzzle Kingdoms,2009,14.99,23700
Samantha Swift and the Golden Touch,2009,9.99,16060
Two Worlds Epic Edition,2009,9.99,1930
Helldorado,2009,9.99,18470
X-Blades,2009,9.99,7510
Zeno Clash,2009,9.99,22200
The Maw: Speeder Lane,2009,1.25,26007
King's Bounty: The Legend,2008,6.99,25900
Virtual Families,2009,9.99,16200
Death Track®: Resurrection,2009,2.99,7840
Freedom Force vs. the Third Reich,2005,4.99,8890
Freedom Force,2002,4.99,8880
Light of Altair,2009,14.99,34500
Darkest Hour: Europe '44-'45,2009,0.0,1280
Prototype™,2009,19.99,10150
Blueberry Garden,2009,4.99,29160
Port Royale 2,2004,4.99,12470
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007,14.99,22330
The Elder Scrolls III: Morrowind® Game of the Year Edition,2002,14.99,22320
Ankh 2: Heart of Osiris,2007,4.99,12440
Armored Fist 3,1999,9.99,32710
MiG-29 Fulcrum,1998,9.99,32740
BC Kings,2008,4.99,12460
Call of Juarez®: Bound in Blood,2009,9.99,21980
Nancy Drew®: Legend of the Crystal Skull,2007,6.99,31860
Nancy Drew®: The Creature of Kapu Cave,2006,6.99,31900
Nancy Drew®: The Phantom of Venice,2008,6.99,31920
Nancy Drew®: The White Wolf of Icicle Creek,2007,6.99,31930
BRAINPIPE: A Plunge to Unhumanity,2008,0.0,35800
Hunting Unlimited 2010,2009,9.99,12690
Tales of Monkey Island Complete Pack,2009,19.99,31170
Street Fighter® IV,2009,19.99,21660
Thrillville®: Off the Rails™,2007,9.99,6080
Indiana Jones® and the Fate of Atlantis™,1992,5.99,6010
Armed and Dangerous®,2003,5.99,6090
"Star Wars: Battlefront 2 (Classic, 2005)",2005,9.99,6060
Indiana Jones® and the Last Crusade™,1989,5.99,32310
LEGO® Indiana Jones™: The Original Adventures,2008,19.99,32330
The Secret of Monkey Island: Special Edition,2009,9.99,32360
Warfare,2008,12.99,35300
Clutch,2009,9.99,35310
Nancy Drew®: Ransom of the Seven Ships,2009,6.99,31980
3D Ultra™ Minigolf Adventures,2006,9.99,10140
King's Quest™ Collection,2006,19.99,10100
TimeShift™,2007,19.99,10130
Space Quest™ Collection,2006,19.99,10110
Killing Floor Outbreak Character Pack,2009,7.99,1256
Aces of the Galaxy™,2008,9.99,10120
Tropico Reloaded,2009,6.99,33520
Mystery P.I. - Lost in Los Angeles,2009,4.99,3610
Bionic Commando: Rearmed,2008,9.99,21680
Bionic Commando,2009,9.99,21670
Watchmen: The End is Nigh Part 2,2009,4.99,21030
Foreign Legion: Buckets of Blood,2009,4.99,36000
STAR WARS™ - Knights of the Old Republic™,2003,9.99,32370
Osmos,2009,9.99,29180
Fallout 2: A Post Nuclear Role Playing Game,1998,9.99,38410
Fallout Tactics: Brotherhood of Steel,2001,9.99,38420
Kingpin — Life of Crime,1999,9.99,38430
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009,19.99,31180
Jewel Quest Pack,2009,19.99,37960
Mahjong Quest Collection,2009,9.99,38000
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009,4.99,37400
Tom Clancy's Splinter Cell Chaos Theory®,2005,9.99,13570
Crash Time 2,2009,9.99,11390
XIII Century – Gold Edition,2009,4.99,34420
World of Zoo,2009,14.99,43100
18 Wheels of Steel: Extreme Trucker,2009,9.99,33730
Mini Ninjas,2009,9.99,35000
Windosill,2009,2.99,37600
Train Simulator: Colton & Northern Route Add-On,2009,24.99,24029
Midnight Mysteries,2009,9.99,32140
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009,19.99,31190
Joint Operations: Combined Arms Gold,2009,19.99,32770
Train Simulator: US Loco & Asset Pack,2009,17.99,208306
DinerTown Tycoon,2009,9.99,37300
Train Simulator: European Loco & Asset Pack,2009,19.99,208300
Risen,2009,9.99,40300
Flora's Fruit Farm,2009,3.99,35070
Empire: Total War™ - The Warpath Campaign,2009,9.99,10606
Machinarium,2009,9.99,40700
Medal of Honor: Airborne,2007,9.99,24840
Need for Speed: Shift,2009,19.99,24870
Torchlight,2009,14.99,41500
Command & Conquer: Red Alert 3 - Uprising,2009,19.99,24800
The Stronghold Collection,2009,19.99,901735
East India Company: Privateer,2009,4.99,42800
Painkiller: Resurrection,2009,9.99,39560
SpellForce 2 - Anniversary Edition,2009,14.99,39550
Secret Files: Tunguska,2009,9.99,40330
Rush for Berlin Gold,2009,4.99,40320
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009,19.99,31200
Men of War: Red Tide,2009,4.99,3130
Hammerfight,2009,4.99,41100
SpellForce - Platinum Edition,2009,9.99,39540
Massive Assault: Phantom Renaissance,2005,9.99,34640
Massive Assault,2003,9.99,34630
Serious Sam HD: The First Encounter,2009,14.99,41000
Secret Files 2: Puritas Cordis,2009,9.99,40340
Dragon Age: Origins,2009,19.99,17450
Aztaka,2009,4.99,37100
Magnetis,2009,1.99,37500
For The Glory: A Europa Universalis Game,2009,9.99,42810
Call of Duty®: Modern Warfare® 2,2009,19.99,10180
LEGO® Star Wars™ - The Complete Saga,2009,19.99,32440
Overlord™,2007,4.99,11450
Overlord™: Raising Hell,2008,9.99,12710
Command & Conquer 3: Tiberium Wars,2007,14.99,24790
Yumsters 2: Around the World,2008,4.99,29120
Command & Conquer 3: Kane's Wrath,2009,19.99,24810
Gratuitous Space Battles,2009,14.99,41800
Wings of Prey,2009,9.99,45300
The Bard's Tale,2005,9.99,41900
Defence Alliance 2,2009,0.0,35420
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009,19.99,32430
Fallout 3: Game of the Year Edition,2009,19.99,22370
Gratuitous Space Battles: The Tribe,2009,5.99,41802
Build-A-Lot,2007,9.99,38080
Build-A-Lot 2: Town of the Year,2008,9.99,38090
Build-A-Lot 3: Passport to Europe,2009,9.99,38100
Coconut Queen,2009,9.99,38070
Roogoo,2009,1.99,38210
Devil May Cry 4,2008,19.99,45700
Avencast: Rise of the Mage,2010,9.99,46410
Build-A-Lot 4: Power Source,2009,9.99,38110
"Pirates, Vikings, and Knights II",2010,0.0,17570
Farm Frenzy 2,2008,4.99,38130
Farm Frenzy 3: American Pie,2010,9.99,38160
Farm Frenzy 3,2009,9.99,38150
Farm Frenzy,2007,4.99,38120
Farm Frenzy: Pizza Party,2009,4.99,38140
Cake Mania Main Street™,2010,6.99,36300
Westward® IV: All Aboard,2010,6.99,36310
Iron Roses,2010,6.99,36320
UFO: Extraterrestrials Gold,2010,9.99,37030
LEGO® Indiana Jones™ 2: The Adventure Continues,2010,19.99,32450
Super Laser  Racer,2010,4.99,44100
Hearts of Iron III: Soviet Infantry Pack DLC,2010,0.99,25960
NecroVisioN: Lost Company,2010,6.99,46250
Cradle of Persia,2007,9.99,38180
Aliens vs. Predator Swarm Map Pack,2010,7.49,10695
Serious Sam Classic: The First Encounter,2001,9.99,41050
Train Simulator: Fort Kent to Eagle Lake Route Add-On,2010,19.99,24055
Mount & Blade: Warband,2010,19.99,48700
Coniclysm,2010,4.99,39900
Plain Sight,2010,4.99,49900
Lead and Gold: Gangs of the Wild West,2010,9.99,42120
Grand Theft Auto: Episodes from Liberty City,2010,19.99,12220
Dark Void™ Zero,2010,4.99,45730
Fortix,2010,0.99,45400
Beat Hazard,2010,9.99,49600
Sam & Max: The Devil’s Playhouse,2010,19.99,901399
M.U.D. TV,2010,9.99,43500
Wings of Luftwaffe Add-on,2010,4.99,45302
The Misadventures of P.B. Winterbottom,2010,4.99,40930
AquaNox 2: Revelation,2003,4.99,39640
AquaNox,2001,4.99,39630
Fluttabyes,2010,1.99,23150
Hidden Expedition: Titanic,2006,9.99,50940
Hidden Expedition: Amazon,2008,9.99,50920
Napoleon: Total War™ - Coalition Battle Pack,2010,2.99,34178
Fitness Dash™,2008,6.99,37340
Gemini Lost™,2009,6.99,37390
DinerTown Detective Agency™,2009,6.99,37310
Hotel Dash™ Suite Success™,2009,6.99,49000
Nightshift Legacy: The Jaguar's Eye™,2010,6.99,37330
The Nightshift Code™,2008,6.99,37320
TriJinx: A Kristine Kross Mystery™,2007,6.99,37370
Valerie Porter and the Scarlet Scandal™,2009,6.99,37380
Biozone,2010,9.99,19080
Rocket Knight,2010,14.99,19030
Flight of the Icarus,2010,4.99,49800
Puzzler World,2010,4.99,33650
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,2010,19.99,901478
Ziro,2010,4.99,33660
Altered Beast™,2010,2.99,34281
Comix Zone™,2010,2.99,34272
SEGA Mega Drive and Genesis Classics,2010,61.99,34270
Golden Axe™,2010,2.99,34276
Ecco the Dolphin™,2010,2.99,34274
Gain Ground™,2010,2.99,34275
Shinobi™ III: Return of the Ninja Master,2010,2.99,34277
Crack Down™,2010,2.99,34273
VectorMan™,2010,2.99,34280
Shadow Dancer™,2010,2.99,34282
Space Harrier™ II,2010,2.99,34279
Alpha Protocol™,2010,14.99,34010
Alien Breed: Impact,2010,9.99,22610
Fallout 3 - Point Lookout,2010,4.99,22440
Defense Grid: Resurgence Map Pack 1,2010,0.99,18508
Fallout 3 - Mothership Zeta,2010,4.99,22430
Fallout 3 - Broken Steel,2010,4.99,22410
Fallout 3 - The Pitt,2010,4.99,22420
Alien Swarm,2010,0.0,630
Fallout 3 - Operation Anchorage,2010,4.99,22400
SimCity™ 4 Deluxe Edition,2003,19.99,24780
Disciples III - Renaissance Steam Special Edition,2010,14.99,33670
Tidalis,2010,4.99,40420
Razor2: Hidden Skies,2010,9.99,34920
The Settlers 7: Uncharted Land Map Pack,2010,3.99,48136
Dimensity,2008,9.99,46720
Kane & Lynch 2: Dog Days,2010,9.99,28000
The Guild II Renaissance,2010,9.99,39680
Hearts of Iron III DLC: German II Spritepack,2010,0.99,25962
Trainz Simulator DLC: Blue Comet,2010,19.99,24634
Fantasy Wars,2010,4.99,63900
Mafia II,2011,29.99,50130
Train Simulator: Network Southeast Class 47 Loco Add-On,2010,4.99,24075
Puzzle Quest 2,2010,9.99,47540
Burn Zombie Burn!,2010,9.99,50510
Madballs B*D*I Clan Skins,2010,1.99,25760
Madballs Scorched Evolution Skin Rollup,2010,1.99,25763
Madballs BDI Evolution Skin Rollup,2010,1.99,25762
Madballs Holiday Skin Rollup,2010,2.99,25764
Victoria I Complete,2010,9.99,42980
Ship Simulator Extremes,2010,19.99,48800
Worms Reloaded,2010,19.99,22600
Making History II: The War of the World,2010,14.99,46770
Arma 2: British Armed Forces,2010,8.99,65700
Victoria II,2010,19.99,42960
Madballs Scorched Clan Skins,2010,1.99,25761
Kane & Lynch 2: The Doggie Bag,2010,5.99,28010
Kane & Lynch 2: Multiplayer Masks Pack,2010,1.99,28012
Trainz: Classic Cabon City,2010,19.99,24640
Kane & Lynch 2: Alliance Weapon Pack,2010,2.99,28011
Cossacks: Back to War,2002,4.99,4850
Broken Sword: Director's Cut,2010,5.99,57640
Chime,2010,4.99,62100
Mafia II DLC: Jimmy's Vendetta,2010,9.99,50145
Sniper: Ghost Warrior - Map Pack,2010,1.99,34841
VVVVVV,2010,4.99,70300
The Settlers 7: Conquest - The Empire Expansion DLC,2010,3.99,48137
Amnesia: The Dark Descent,2010,19.99,57300
Recettear: An Item Shop's Tale,2010,19.99,70400
Swarm Arena,2010,3.99,46600
Super Thunder Blade™,2010,2.99,34314
Galaxy Force II™,2010,2.99,34310
Hacker Evolution,2010,4.99,70100
Hacker Evolution: Untold,2010,4.99,70110
Faerie Solitaire,2010,9.99,38600
Patrician IV - Steam Special Edition,2010,14.99,57620
Bonanza Bros.™,2010,2.99,34284
King's Bounty: Crossworlds,2010,14.99,63910
Train Simulator: Green & Gold HST DMU Add-On,2010,4.99,24082
Sid Meier's Civilization® V,2010,29.99,8930
Commander: Conquest of the Americas - Colonial Navy,2010,4.99,49310
Serious Sam Classic: The Second Encounter,2002,9.99,41060
Star Ruler,2010,9.99,70900
Blade Kitten,2010,2.99,9940
Alien Breed 2: Assault,2010,9.99,22650
Darksiders™,2010,19.99,50620
X: Beyond the Frontier,1999,4.99,2840
The Kings' Crusade,2010,9.99,42920
Guild Wars: Eye of the North®,2007,19.99,29700
X: Tension,2000,4.99,2850
Age of Wonders II: The Wizard's Throne,2010,9.99,61510
Governor of Poker 2,2010,7.99,70200
Governor of Poker 2 - Premium Edition,2010,14.99,70210
Age of Wonders Shadow Magic,2010,9.99,61520
Age of Wonders,2010,5.99,61500
Medal of Honor™,2010,19.99,47790
Grotesque Tactics: Evil Heroes,2010,9.99,46450
Lost Planet® 2,2010,19.99,45750
Doc Clock: The Toasted Sandwich of Time,2010,4.99,57800
Fallout: New Vegas,2010,9.99,22380
The Polynomial - Space of the music,2010,6.99,67000
Puzzle Bots,2010,4.99,80300
Nimbus,2010,9.99,50000
Civilization V - Babylon (Nebuchadnezzar II),2010,4.99,16868
DeathSpank,2010,14.99,18040
Virtua Fighter™ 2,2010,2.99,71115
Columns™ III,2010,2.99,34317
Sword of Vermilion™,2010,2.99,71114
Golden Axe™ II,2010,2.99,71112
Sonic The Hedgehog,2010,4.99,71113
Ecco™: The Tides of Time,2010,2.99,34319
Bio-Hazard Battle™,2010,2.99,34316
Alien Storm,2010,2.99,34315
Shank,2010,9.99,6120
The Ball,2010,9.99,35460
STAR WARS™: The Force Unleashed™ II,2010,19.99,32500
Flight Control HD,2010,4.99,62000
Patrician III,2010,4.99,33570
BIT.TRIP BEAT,2010,9.99,63700
Theatre of War 2 - Battle for Caen,2010,1.99,46362
Woody Two-Legs: Attack of the Zombie Pirates,2010,4.99,49320
Clones,2010,4.99,72400
Victoria II: Interwar Spritepack,2010,1.99,42964
Front Mission Evolved: Wanzer Pack 2,2010,3.99,43011
Pound of Ground,2010,9.99,33980
Pat & Mat,2009,6.99,65710
Alternativa,2010,12.99,33990
Fish Fillets 2,2007,4.99,33950
Archon Classic,2010,9.99,65400
Call of Duty®: Black Ops,2010,39.99,42700
Rhythm Zone Tornado Visualizer DLC,2010,0.99,38923
Arcadia,2010,4.99,72500
Oddworld: Munch's Oddysee,2010,4.99,15740
Rhythm Zone DJ Table Visualizer DLC,2010,1.99,38924
Oddworld: Stranger's Wrath HD,2010,9.99,15750
Clickr,2010,4.99,45500
Back to the Future: The Game,2010,19.99,31290
Grand Theft Auto III,2002,9.99,12100
Grand Theft Auto: San Andreas,2005,14.99,12120
Lara Croft GoL: Raziel and Kain Character Pack,2011,3.49,35135
Lara Croft GoL: Things that Go Boom - Challenge Pack 2,2011,3.49,35137
Lara Croft GoL: Hazardous Reunion - Challenge Pack 3,2011,3.49,35138
Lara Croft GoL: All the Trappings - Challenge Pack 1,2011,3.49,35136
Grand Theft Auto: Vice City,2003,9.99,12110
Zeit²,2011,9.99,33390
A.R.E.S.: Extinction Agenda,2011,4.99,92300
APOX,2011,14.99,80000
Dead Space™ 2,2011,19.99,47780
Drawn®: The Painted Tower,2011,9.99,51060
Kaptain Brawe: A Brawe New World,2011,4.99,65080
Monday Night Combat,2011,4.99,63200
Luxor: 5th Passage,2011,9.99,60340
Alien Soldier,2011,2.99,71116
Shining in the Darkness,2011,2.99,71161
Light Crusader,2011,2.99,71119
Landstalker: The Treasures of King Nole,2011,2.99,71118
Gunstar Heroes,2011,2.99,71117
ToeJam & Earl,2011,4.99,71166
Streets of Rage 2,2011,2.99,71165
Sonic The Hedgehog 2,2011,4.99,71163
Streets of Rage,2011,2.99,71164
Shining Force II,2011,2.99,71160
Shining Force,2011,2.99,71120
The Sims™ 3,2009,19.99,47890
Ship Simulator Extremes: Sigita Pack,2011,3.99,48802
The Sims™ 3 Fast Lane Stuff,2010,19.99,47896
The Sims™ 3 World Adventures,2009,19.99,47892
The Sims™ 3 Late Night,2010,19.99,47894
The Sims™ 3 Ambitions,2010,19.99,47893
The Sims™ 3 High-End Loft Stuff,2010,19.99,47895
Trino,2011,4.99,42000
Mishap 2: An Intentional Haunting - Collector's Edition,2011,14.99,47570
The Sims™ 3 Outdoor Living Stuff,2011,19.99,47897
Who's That Flying?!,2011,5.99,57700
Myst: Masterpiece Edition,2011,5.99,63660
Guardians of Graxia: Elves & Dwarves,2011,2.99,90504
Two Worlds II HD,2011,19.99,7520
Test Drive Unlimited 2,2011,19.99,9930
King Arthur: The Druids,2011,3.99,24449
Gratuitous Space Battles: Galactic Conquest,2011,6.99,41814
The Kings' Crusade: New Allies,2011,3.99,42925
DUNGEONS - Steam Special Edition,2011,9.99,57650
AI War: Light of the Spire,2011,4.99,40407
Drakensang: The River of Time,2011,19.99,33770
RISK™: Factions,2011,9.99,47800
Crazy Machines 2: Time Travel Add-On,2011,4.99,18408
BIT.TRIP RUNNER,2011,9.99,63710
Homefront,2011,19.99,55100
Fate of the World,2011,9.99,80200
B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),2011,2.99,92400
"Warhammer 40,000: Dawn of War II - Retribution Ork Race Pack",2011,0.99,56435
"Warhammer 40,000: Dawn of War II - Retribution Imperial Guard Race Pack",2011,2.99,56433
"Warhammer 40,000: Dawn of War II - Retribution Eldar Race Pack",2011,0.99,56432
"Warhammer 40,000: Dawn of War II - Retribution Chaos Space Marines Race Pack",2011,0.99,56431
RIFT,2013,0.0,39120
"Warhammer 40,000: Dawn of War II: Retribution",2011,29.99,56437
Dinner Date,2011,3.99,94000
"Warhammer 40,000: Dawn of War II - Retribution Space Marines Race Pack",2011,2.99,56434
Shadow Harvest: Phantom Ops,2011,9.99,92700
Cities in Motion: Design Classics,2011,3.99,73012
Ship Simulator Extremes: Ferry Pack,2011,3.99,48803
"Warhammer 40,000: Dawn of War II: Retribution: Dark Angels Pack",2011,6.99,56536
STCC The Game 2 – Expansion Pack for RACE 07,2011,3.99,44620
Anomaly: Warzone Earth,2011,9.99,91200
Armada 2526,2010,14.99,46790
Darkest Hour: A Hearts of Iron Game,2011,9.99,73170
Dungeons: Into the Dark DLC Pack,2011,3.99,57655
Dino D-Day,2011,9.99,70000
Patrician IV: Rise of a Dynasty,2011,9.99,57730
Portal 2,2011,19.99,620
Magicka: Vietnam,2011,4.99,42918
Sanctum,2011,9.99,91600
Majesty 2 Collection,2011,19.99,73020
"Warhammer 40,000: Dawn of War II - Retribution - Mekboy Wargear DLC",2011,2.99,56482
Dawn of War II: Retribution – The Last Stand,2011,9.99,56438
"Warhammer 40,000: Dawn of War II - Retribution - Farseer Wargear DLC",2011,2.99,56481
Frozen Synapse,2011,24.99,98200
